,rotation,magnetic_potential_energy
0,0.0,7.360335552209873e-06
1,1.0,7.358774927255104e-06
2,2.0,7.354246275013081e-06
3,3.0,7.347195111972671e-06
4,4.0,7.338303133689686e-06
5,5.0,7.328369739371824e-06
6,6.0,7.318148453208126e-06
7,7.0,7.308183354791397e-06
8,8.0,7.2986913197533355e-06
9,9.0,7.2895274931033125e-06
10,10.0,7.280251590183633e-06
11,11.0,7.270282514260613e-06
12,12.0,7.259060205507017e-06
13,13.0,7.246147415660626e-06
14,14.0,7.231299719405566e-06
15,15.0,7.214522005635872e-06
16,16.0,7.1960725645510504e-06
17,17.0,7.176378933831365e-06
18,18.0,7.155892844566869e-06
19,19.0,7.134955612632472e-06
20,20.0,7.11369634960653e-06
21,21.0,7.091982560007651e-06
22,22.0,7.06949427202544e-06
23,23.0,7.045901688542695e-06
24,24.0,7.020993705973986e-06
25,25.0,6.994699425970546e-06
26,26.0,6.967121853185857e-06
27,27.0,6.938600860329662e-06
28,28.0,6.909635475665645e-06
29,29.0,6.880649498535552e-06
30,30.0,6.851815559727642e-06
31,31.0,6.823043959581203e-06
32,32.0,6.794074848802293e-06
33,33.0,6.764663180055606e-06
34,34.0,6.734822237909665e-06
35,35.0,6.704949726458128e-06
36,36.0,6.675750970904527e-06
37,37.0,6.648041840074291e-06
38,38.0,6.622458579016357e-06
39,39.0,6.599165015890586e-06
40,40.0,6.57788387626615e-06
41,41.0,6.55836307159082e-06
42,42.0,6.540890128917887e-06
43,43.0,6.526495713830855e-06
44,44.0,6.516782556090674e-06
45,45.0,6.513321289344422e-06
46,46.0,6.516782556090674e-06
47,47.0,6.526495713830854e-06
48,48.0,6.540890128917887e-06
49,49.0,6.558363071590822e-06
50,50.0,6.577883876266123e-06
51,51.0,6.599165015890567e-06
52,52.0,6.6224585790163565e-06
53,53.0,6.648041840074291e-06
54,54.0,6.675750970904527e-06
55,55.0,6.704949726458123e-06
56,56.0,6.734822237909665e-06
57,57.0,6.7646631800556065e-06
58,58.0,6.794074848802293e-06
59,59.0,6.823043959581203e-06
60,60.0,6.851815559727646e-06
61,61.0,6.880649498535551e-06
62,62.0,6.909635475665645e-06
63,63.0,6.938600860329671e-06
64,64.0,6.967121853185866e-06
65,65.0,6.994699425970529e-06
66,66.0,7.020993705973986e-06
67,67.0,7.045901688542696e-06
68,68.0,7.069494272025441e-06
69,69.0,7.091982560007678e-06
70,70.0,7.11369634960653e-06
71,71.0,7.134955612632472e-06
72,72.0,7.155892844566868e-06
73,73.0,7.176378933831246e-06
74,74.0,7.1960725645510504e-06
75,75.0,7.214522005635871e-06
76,76.0,7.231299719405565e-06
77,77.0,7.246147415660626e-06
78,78.0,7.259060205506868e-06
79,79.0,7.270282514260605e-06
80,80.0,7.280251590183633e-06
81,81.0,7.289527493103313e-06
82,82.0,7.2986913197533355e-06
83,83.0,7.308183354791396e-06
84,84.0,7.318148453208126e-06
85,85.0,7.328369739371823e-06
86,86.0,7.3383031336896855e-06
87,87.0,7.34719511197267e-06
88,88.0,7.354246275013081e-06
89,89.0,7.358774927255104e-06
90,90.0,7.360335552209873e-06
91,91.0,7.358774927255104e-06
92,92.0,7.354246275013081e-06
93,93.0,7.347195111972671e-06
94,94.0,7.338303133689686e-06
95,95.0,7.328369739371824e-06
96,96.0,7.318148453208125e-06
97,97.0,7.308183354791397e-06
98,98.0,7.2986913197533355e-06
99,99.0,7.289527493103313e-06
100,100.0,7.280251590183633e-06
101,101.0,7.270282514260613e-06
102,102.0,7.259060205507018e-06
103,103.0,7.246147415660626e-06
104,104.0,7.231299719405566e-06
105,105.0,7.214522005635872e-06
106,106.0,7.1960725645510504e-06
107,107.0,7.176378933831365e-06
108,108.0,7.155892844566868e-06
109,109.0,7.134955612632472e-06
110,110.0,7.11369634960653e-06
111,111.0,7.091982560007651e-06
112,112.0,7.06949427202544e-06
113,113.0,7.045901688542695e-06
114,114.0,7.020993705973986e-06
115,115.0,6.994699425970546e-06
116,116.0,6.967121853185857e-06
117,117.0,6.938600860329662e-06
118,118.0,6.909635475665646e-06
119,119.0,6.880649498535552e-06
120,120.0,6.851815559727642e-06
121,121.0,6.823043959581203e-06
122,122.0,6.794074848802293e-06
123,123.0,6.764663180055606e-06
124,124.0,6.734822237909665e-06
125,125.0,6.704949726458129e-06
126,126.0,6.675750970904527e-06
127,127.0,6.648041840074291e-06
128,128.0,6.622458579016357e-06
129,129.0,6.599165015890586e-06
130,130.0,6.57788387626615e-06
131,131.0,6.558363071590821e-06
132,132.0,6.540890128917887e-06
133,133.0,6.526495713830855e-06
134,134.0,6.516782556090674e-06
135,135.0,6.513321289344422e-06
136,136.0,6.516782556090674e-06
137,137.0,6.526495713830854e-06
138,138.0,6.540890128917887e-06
139,139.0,6.558363071590822e-06
140,140.0,6.577883876266123e-06
141,141.0,6.599165015890567e-06
142,142.0,6.6224585790163565e-06
143,143.0,6.648041840074291e-06
144,144.0,6.675750970904527e-06
145,145.0,6.704949726458124e-06
146,146.0,6.734822237909665e-06
147,147.0,6.7646631800556065e-06
148,148.0,6.794074848802293e-06
149,149.0,6.823043959581203e-06
150,150.0,6.851815559727646e-06
151,151.0,6.880649498535551e-06
152,152.0,6.909635475665644e-06
153,153.0,6.938600860329671e-06
154,154.0,6.967121853185866e-06
155,155.0,6.994699425970529e-06
156,156.0,7.020993705973986e-06
157,157.0,7.045901688542696e-06
158,158.0,7.06949427202544e-06
159,159.0,7.091982560007678e-06
160,160.0,7.11369634960653e-06
161,161.0,7.134955612632472e-06
162,162.0,7.155892844566868e-06
163,163.0,7.176378933831246e-06
164,164.0,7.19607256455105e-06
165,165.0,7.214522005635871e-06
166,166.0,7.231299719405565e-06
167,167.0,7.246147415660626e-06
168,168.0,7.259060205506868e-06
169,169.0,7.270282514260605e-06
170,170.0,7.280251590183633e-06
171,171.0,7.289527493103313e-06
172,172.0,7.2986913197533355e-06
173,173.0,7.308183354791396e-06
174,174.0,7.318148453208126e-06
175,175.0,7.328369739371823e-06
176,176.0,7.3383031336896855e-06
177,177.0,7.34719511197267e-06
178,178.0,7.354246275013081e-06
179,179.0,7.358774927255104e-06
180,180.0,7.360335552209873e-06
